"CCR7";"CD4";"CD45RA";"HLADR";"CD38";"CD8"
1561,24291992188;1052,65270996094;3169,94360351562;889,992004394531;1326,27014160156;2733,80981445312
1362,28198242188;978,121887207031;2826,46923828125;1810,43334960938;1294,46667480469;3054,5546875
1321,37866210938;1180,94970703125;2780,12817382812;-57,027587890625;211,051513671875;2450,6572265625
779,823059082031;1097,84484863281;3054,91357421875;-67,7058334350586;579,618713378906;1898,01354980469
956,259582519531;942,870422363281;2612,18823242188;60,3505897521973;1776,34301757812;3262,79931640625
1100,162109375;1080,47241210938;2560,61010742188;702,396240234375;1179,53894042969;2836,23803710938
1406,7841796875;1035,64196777344;3290,0771484375;352,440307617188;511,469696044922;2254,74267578125
1409,04577636719;615,479858398438;2340,59130859375;430,435699462891;1692,24853515625;2970,50805664062
1294,65551757812;884,174255371094;2908,7451171875;1140,68969726562;924,529235839844;2064,52490234375
637,060485839844;1392,41564941406;3382,82666015625;819,512084960938;755,601135253906;1950,97265625
1393,91906738281;1119,52697753906;3375,11328125;758,296997070312;1377,65649414062;3263,81469726562
1398,11730957031;959,712890625;2740,3173828125;1448,67346191406;1409,77136230469;2750,27001953125
1458,90100097656;516,518249511719;3004,4638671875;1046,52453613281;1282,63317871094;2688,92846679688
1275,65405273438;696,217346191406;2836,33813476562;1926,18225097656;1697,03210449219;2905,86181640625
767,3935546875;981,265502929688;2596,81176757812;1007,11315917969;772,663635253906;2598,6953125
916,566162109375;959,733703613281;3113,16064453125;949,275207519531;644,856140136719;3234,275390625
865,052429199219;705,576171875;2522,84326171875;847,967041015625;439,757019042969;2555,16015625
1370,56225585938;563,37646484375;2816,95825195312;1326,015625;1428,11901855469;2830,20263671875
1009,73681640625;1272,90515136719;2859,81323242188;1226,43884277344;1155,47900390625;3249,46484375
883,876892089844;717,775146484375;2874,04370117188;1057,62622070312;1398,29272460938;2419,99755859375
711,75390625;788,895263671875;2396,259765625;720,960510253906;707,85498046875;2823,13134765625
923,502319335938;1032,76257324219;2476,5009765625;825,708190917969;1011,44934082031;2370,56079101562
1249,70471191406;620,68115234375;2398,48266601562;1758,3818359375;784,30712890625;2779,89892578125
1610,41174316406;910,099243164062;2831,50732421875;1144,0732421875;368,430358886719;2198,38061523438
1351,20971679688;991,415954589844;3362,04052734375;1253,76391601562;1198,0009765625;2846,57763671875
1366,01330566406;1309,88330078125;3286,57299804688;978,352722167969;1154,07080078125;3021,29833984375
818,463256835938;1260,74169921875;2964,89135742188;1149,27514648438;1446,90698242188;1842,048828125
1154,02709960938;567,336730957031;3005,51123046875;1363,41394042969;1447,72570800781;3363,65795898438
1119,37866210938;820,912658691406;2426,12109375;1456,7119140625;743,414123535156;3000,92578125
886,663879394531;1695,67663574219;2891,03076171875;1914,07458496094;1417,43713378906;2891,2138671875
766,197387695312;1035,810546875;2725,68237304688;1305,28820800781;1219,10229492188;3054,48974609375
841,801818847656;1193,22619628906;2760,69091796875;1171,23718261719;1087,02661132812;1707,82690429688
1595,95446777344;868,061950683594;3168,916015625;1835,1533203125;1776,48217773438;2182,38745117188
817,222900390625;657,847290039062;3160,7373046875;523,127502441406;1191,15051269531;2975,64990234375
1337,93505859375;1082,20483398438;3255,61547851562;1213,82849121094;2001,74841308594;2558,2724609375
1562,51513671875;1214,83142089844;3464,16430664062;1820,87158203125;1770,97668457031;2809,94360351562
1074,2939453125;909,496154785156;2916,86547851562;1712,27709960938;462,363494873047;2473,015625
1067,30358886719;507,292419433594;2720,5771484375;939,960632324219;640,795776367188;2520,24926757812
1595,53186035156;1064,46350097656;2812,591796875;1202,81518554688;1065,52404785156;3193,87963867188
1630,71606445312;808,961975097656;2630,49438476562;1084,40087890625;835,198181152344;2532,07836914062
938,177917480469;458,673645019531;2971,28540039062;1198,85522460938;1302,21398925781;2874,89379882812
1277,55554199219;1030,65991210938;3153,71875;1163,76452636719;585,730590820312;2248,412109375
1637,59936523438;1319,77209472656;3345,01440429688;1314,94396972656;1295,04089355469;1693,42468261719
1513,84594726562;864,145568847656;3214,36791992188;908,747924804688;1157,54345703125;3336,5615234375
882,493286132812;747,446838378906;3048,72412109375;1274,33984375;645,897583007812;1750,09191894531
911,915283203125;1439,349609375;3331,19213867188;975,84375;1131,81713867188;2478,89697265625
878,166564941406;517,527893066406;3256,40258789062;480,768249511719;1237,42443847656;2305,16674804688
1640,16467285156;806,278991699219;3145,62744140625;1363,39624023438;1083,96276855469;3146,11206054688
745,791442871094;684,753356933594;2379,17114257812;1137,49584960938;688,8271484375;2496,23608398438
785,140502929688;573,060424804688;3212,44873046875;1166,27783203125;963,767211914062;2164,9697265625
1442,369140625;414,940032958984;3203,20361328125;241,750335693359;805,047180175781;2191,07641601562
1397,55139160156;725,117370605469;2875,33129882812;1121,05432128906;973,706665039062;3189,10034179688
1250,12683105469;987,851867675781;3054,130859375;979,047424316406;1442,07141113281;3099,63256835938
668,580749511719;438,503326416016;2770,2958984375;929,733276367188;1291,59423828125;2250,5107421875
1064,60729980469;952,438598632812;3028,22534179688;1164,66979980469;1632,73376464844;1770,86279296875
1510,46899414062;731,13916015625;2905,77978515625;1931,84130859375;1614,77575683594;3061,6923828125
1123,99853515625;1446,25390625;3468,29663085938;681,11572265625;1466,9462890625;2659,1435546875
674,77197265625;1131,83178710938;2584,263671875;1691,01342773438;2134,13427734375;2143,61987304688
1000,30737304688;856,591857910156;2560,58349609375;1083,80786132812;1344,32824707031;3202,609375
